自动ID,场景ID,场景,对话阶段,阶段顺序,人物,内容类型,话题,NPC台词,玩家可选台词,出现条件,选择结果,下一话题,动作/表情备注,设计备注,对话动机,画面表现,玩家因此知道什么,状态写入（不显示）,是否说出口,演出/交互方式
C18_012,C18_WRITING,《雾港日报》·写稿桌,第一章·第一篇稿,2,沈砚舟,稿件选择,提出一项现场疑点,,死者女儿曾试图带走药盒,始终,report_focus=medicine,第一章·是否写入赵敬文,,只能由玩家实际记录支持；措辞保持待查。,,林玉棠曾从死者衣内取出随身药盒，并拒绝立即交给现场医师；该药盒目前已由警方封存。,稿件只把已选疑点写成待查问题。,published_claim_basis=medicine,否,玩家点击写入稿纸
C18_013,C18_WRITING,《雾港日报》·写稿桌,第一章·第一篇稿,2,沈砚舟,稿件选择,提出一项现场疑点,,天桥吊绳有近期变动痕迹,pre_police_check=bridge,report_focus=rope,第一章·是否写入赵敬文,,只能由玩家实际记录支持；措辞保持待查。,,本报记者在春和天桥看见，一根吊景绳的绳尾长度与相邻绳索不同，横杆处另有较新的麻毛。该变化形成于何时、是否与死者有关，目前尚无结论。,稿件只把已选疑点写成待查问题。,published_claim_basis=rope,否,玩家点击写入稿纸
C18_014,C18_WRITING,《雾港日报》·写稿桌,第一章·第一篇稿,2,沈砚舟,稿件选择,提出一项现场疑点,,后台人员在关键时段离开岗位,c06_position=front or c07_position=front or c07_position=orchestra,report_focus=absence,第一章·是否写入赵敬文,,只能由玩家实际记录支持；措辞保持待查。,,演出后段至谢幕期间，现场有负责前场或后台事务的人员离开原本位置；其间行踪尚待核对。,稿件只把已选疑点写成待查问题。,published_claim_basis=absence,否,玩家点击写入稿纸
C19_001,C19_REPORT_LINK,《雾港日报》·写稿桌,第一章·是否写入赵敬文,1,编辑,NPC台词,编辑判断,编辑：「女儿抢药盒？那是花边。」,,report_focus=medicine,,,,DEC-20260922-CH1-PLAYABILITY：药盒判断由编辑当面说出，作为写稿选择后的即时反馈。,,,,,是,连续剧情逐句点击；末句显示两个写稿选项
C19_010,C19_ZHAO_LINK,《雾港日报》·写稿桌,第一章·是否写入赵敬文,1,沈砚舟,稿件选择,是否公开关联,,写入两件事的联系,始终,report_link=true,第一章·交稿,,,,末段写入：赵敬文被警方认定失足落水身亡，死前曾申请重访春和旧事；两事是否有关尚无官方结论。,,,否,玩家点击写入稿纸
C19_011,C19_ZHAO_LINK,《雾港日报》·写稿桌,第一章·是否写入赵敬文,1,沈砚舟,稿件选择,是否公开关联,,暂不写入,始终,report_link=false,第一章·交稿,,,,报道只涉及林怀安当晚死亡与现场情况。,,,否,玩家点击写入稿纸
C20_001,C20_SUBMIT,《雾港日报》·排字房门口,第一章·交稿,1,沈砚舟,玩家单一点击,交稿,,交稿,始终,report_submitted=true,第一章·次日见报,版面编辑接过稿纸直接交给排字工，铅字落进版框。,,,只有稿纸、排字框与一个交稿按钮。,,,否,单一按钮；点击后进入见报
C21_001,C21_NEWSPAPER,次日清晨·报纸版面,第一章·次日见报,1,报纸,纯画面,实际见报,,,report_focus=confirmed,,第一章·第一章结尾,春和众人防备较低；报馆认为这是一篇稳妥但普通的本埠消息。,只显示玩家实际写出的版面结果。,,春和班主演后身亡\n警方尚未公布死因,,published_focus=confirmed,否,报纸UI；背景UI无对话框
C21_002,C21_NEWSPAPER,次日清晨·报纸版面,第一章·次日见报,1,报纸,纯画面,实际见报,,,report_focus=location,,第一章·第一章结尾,顾承钧第二天会进一步复核侧台路径。,只显示玩家实际写出的版面结果。,,春和班主倒毙侧台\n离场路线存疑,,published_focus=location,否,报纸UI；背景UI无对话框
C21_003,C21_NEWSPAPER,次日清晨·报纸版面,第一章·次日见报,1,报纸,纯画面,实际见报,,,report_focus=medicine,,第一章·第一章结尾,其他记者在春和门外追问玉棠。,只显示玩家实际写出的版面结果。,,死者随身药盒已被封存\n现场曾发生争执,,published_focus=medicine,否,报纸UI；背景UI无对话框
C21_004A,C21_NEWSPAPER,次日清晨·报纸版面,第一章·次日见报,1,报纸,纯画面,实际见报,,,report_focus=rope and police_told_rope=true,,第一章·第一章结尾,春和对外只说仍在配合警方。,只显示玩家实际写出的版面结果。,,春和天桥吊绳状态存疑\n铁梯与绳排当晚封存。警方记录了整排收束状态。,,published_focus=rope; evidence.rope_verifiable=true; chapter1_aftermath.rope=secured,否,报纸UI；背景UI无对话框
C21_004B,C21_NEWSPAPER,次日清晨·报纸版面,第一章·次日见报,1,报纸,纯画面,实际见报,,,report_focus=rope and police_told_rope=false,,第一章·第一章结尾,戏院场务不再允许报馆的人单独接近绳排。,只显示玩家实际写出的版面结果。,,春和天桥吊绳状态存疑\n次日再去春和，那根绳的收束位置已经改变，现场无法按昨晚所见原样核对。,,published_focus=rope; evidence.rope_verifiable=false; chapter1_aftermath.rope=lost,否,报纸UI；背景UI无对话框
C21_005,C21_NEWSPAPER,次日清晨·报纸版面,第一章·次日见报,1,报纸,纯画面,实际见报,,,report_focus=absence,,第一章·第一章结尾,被点名者会提前整理自己的时间说法。,只显示玩家实际写出的版面结果。,,春和演出后段人员离岗\n行踪尚待核对,,published_focus=absence,否,报纸UI；背景UI无对话框
C21_010,C21_NEWSPAPER,次日清晨·报纸版面,第一章·次日见报,2,报纸,纯画面,赵敬文公开关联,,,report_link=true,,第一章·第一章结尾,其他报馆迅速赶到春和；方仲山从报纸中确切知道沈砚舟已掌握哪些材料。,,,赵敬文死前重访春和，是否牵出二十年前的旧事？,,zhao_link_public=true,否,报纸UI；背景UI无对话框
C22_001,C22_END,《雾港日报》·赵敬文旧桌,第一章·第一章结尾,1,系统,纯画面,第一章结束,,,始终,,第一章·第一章结尾·编辑,沈砚舟把当天报纸放到赵敬文旧桌上，压住二十年前白素秋的旧报；新报与旧报标题并排。,第一章在两篇报道并置处结束，不进入尚未正式迁移的第二章。,,两张报纸并排；第一章｜夜渡 完。,,chapter1_complete=true,否,背景UI无对话框；玩家点击结束本章
C22_010,C22_END,《雾港日报》·赵敬文旧桌,第一章·第一章结尾·编辑,1,编辑,NPC台词,这条线,编辑：「稳。春和明天换人写也成。」,,report_focus=confirmed,,第一章·第一章结尾·名单,,,,编辑把报纸甩在桌上,,,是,连续剧情逐句点击；主控发言按钮
C22_011,C22_END,《雾港日报》·赵敬文旧桌,第一章·第一章结尾·编辑,1,编辑,NPC台词,这条线,编辑：「这栏出去了。明天别的馆也会去春和。」,,report_focus!=confirmed,,第一章·第一章结尾·名单,,,,编辑把报纸甩在桌上,,,是,连续剧情逐句点击；主控发言按钮
C22_020,C22_END,《雾港日报》·赵敬文旧桌,第一章·第一章结尾·名单,1,伙计,NPC台词,名单,伙计：「方先生说，谢幕前后的站位，报馆要用可以来抄。」,,始终,,,,4.6：给真材料，只控制顺序。不点明操控。,,一个伙计把一只信封放到旧桌上。,,,是,连续剧情逐句点击；主控发言按钮；末句显示两个回答
C22_021,C22_END,《雾港日报》·赵敬文旧桌,第一章·第一章结尾·名单,2,沈砚舟,玩家选项,名单,,留下。明天去抄。,始终,fang_roster_offer=accepted,第一章·第一章结尾·收束,,,,,,fang_roster_offer=accepted,否,玩家点击
C22_022,C22_END,《雾港日报》·赵敬文旧桌,第一章·第一章结尾·名单,2,沈砚舟,玩家选项,名单,,先放着。,始终,fang_roster_offer=ignored,第一章·第一章结尾·收束,,,,,,fang_roster_offer=ignored,否,玩家点击
C22_030,C22_END,《雾港日报》·赵敬文旧桌,第一章·第一章结尾·收束,1,系统,结局,第一章结束,,,始终,,,新报压住二十年前白素秋的旧报。信封还在桌上。,,,两张报纸并排；一只未拆的信封。第一章｜夜渡 完。,,chapter1_complete=true,否,背景UI无对话框；玩家点击结束本章
C22_002,C22_END,《雾港日报》·赵敬文旧桌,第一章·第一章结尾,2,系统,纯画面,见报之后,,,chapter1_aftermath.rope=secured,,第一章·第一章结尾·编辑,,DEC-20260922-BRANCHING-UNFREEZE 章末结账样板。,,这一篇见报之后：顾承钧依先前记录继续封存绳排；春和对外只说仍在配合警方。,,,否,背景UI无对话框
C22_003,C22_END,《雾港日报》·赵敬文旧桌,第一章·第一章结尾,2,系统,纯画面,见报之后,,,chapter1_aftermath.rope=lost,,第一章·第一章结尾·编辑,,DEC-20260922-BRANCHING-UNFREEZE 章末结账样板。,,这一篇见报之后：春和天桥昨日那排绳已不再保持昨晚的收束；报馆的人进后台会被场务拦在绳排之外。,,,否,背景UI无对话框
